date	Myers Briggs	Keirsey	Index Learning Styles
20191001	0	55	0
20191002	6	6	6
20191003	6	61	6
20191004	12	100	6
20191005	6	69	0
20191006	9	83	0
20191007	0	66	6
20191008	6	50	6
20191009	12	78	0
20191010	6	54	6
20191011	6	66	12
20191012	6	56	12
20191013	0	59	6
20191014	7	52	7
20191015	6	47	6
20191016	0	71	6
20191017	10	44	6
20191018	6	44	0
20191019	0	59	0
20191020	12	51	0
20191021	6	61	0
20191022	6	49	6
20191023	0	62	6
20191024	6	41	6
20191025	0	37	6
20191026	6	48	6
20191027	9	29	13
20191028	6	51	0
20191029	0	36	6
20191030	0	30	6
20191031	6	46	6
20191101	6	52	6
20191102	6	67	0
20191103	9	44	0
20191104	6	73	6
20191105	12	65	6
20191106	0	94	6
20191107	6	49	6
20191108	6	72	6
20191109	9	54	12
20191110	6	52	0
20191111	6	64	6
20191112	6	73	0
20191113	11	54	8
20191114	12	62	0
20191115	0	46	0
20191116	0	33	0
20191117	0	41	6
20191118	0	31	0
20191119	0	19	0
20191120	6	26	0
